,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,weightp,scenecut,rc_lookahead,mbtree,aq-mode
video_12,-0.18,0.05,-0.0,-0.0,-0.04,-0.15,-0.05,-0.01,-0.06,-0.06,-0.06,-0.0,-0.14,-0.09,0.18,-0.03,-0.38,0.02,-0.02,0.09,-0.37,-0.19
video_13,-0.23,-0.08,-0.09,-0.06,-0.13,-0.26,-0.04,0.02,0.12,-0.14,-0.1,-0.09,-0.07,-0.11,0.24,-0.02,-0.34,0.05,0.11,0.03,-0.37,0.44
video_14,-0.15,-0.01,-0.1,-0.07,-0.14,-0.25,-0.06,0.01,0.05,-0.14,-0.13,0.09,-0.11,-0.03,0.2,0.01,-0.25,0.05,0.2,0.06,-0.54,0.46
video_15,-0.43,-0.01,-0.04,-0.0,-0.01,-0.1,0.06,-0.06,0.07,0.03,0.03,-0.19,-0.01,-0.1,-0.26,0.02,0.18,0.04,0.08,0.04,-0.83,0.61
video_16,-0.33,0.02,-0.05,-0.02,-0.13,-0.3,0.02,-0.06,0.04,-0.07,-0.06,-0.01,0.0,-0.06,0.1,0.01,-0.12,0.0,0.0,0.03,-0.41,-0.18
video_17,-0.18,0.02,-0.06,-0.06,-0.06,-0.15,0.0,-0.07,-0.03,-0.15,-0.11,-0.04,-0.06,-0.08,0.23,0.04,-0.2,0.01,-0.05,0.07,-0.42,-0.35
video_18,-0.15,0.08,-0.13,-0.12,-0.04,-0.52,0.01,-0.07,0.07,-0.26,-0.08,-0.02,-0.01,-0.05,0.2,0.01,-0.31,0.02,-0.07,0.1,-0.04,-0.02
video_19,-0.29,-0.06,0.01,-0.02,-0.05,-0.12,0.0,-0.03,-0.05,-0.04,-0.1,-0.03,0.0,0.04,0.07,0.0,-0.05,-0.03,-0.02,0.0,-0.55,-0.33
video_20,-0.54,-0.0,-0.0,-0.0,-0.02,-0.05,-0.0,-0.03,0.04,-0.02,-0.03,-0.02,-0.01,0.1,-0.04,0.01,0.07,-0.07,0.05,-0.0,-0.81,0.17
video_21,-0.2,-0.06,-0.07,-0.05,-0.09,-0.37,-0.01,-0.03,0.02,-0.11,-0.12,-0.01,-0.04,-0.07,0.16,0.0,-0.25,-0.01,0.01,0.02,-0.4,0.13
video_22,-0.14,0.02,-0.03,-0.03,-0.05,-0.22,-0.02,-0.05,-0.02,-0.11,-0.13,-0.01,-0.03,-0.11,0.18,0.02,-0.32,0.02,-0.03,0.05,-0.29,-0.33
video_23,-0.31,0.05,-0.04,0.0,-0.11,-0.22,0.04,-0.03,0.12,-0.11,-0.04,-0.16,-0.04,-0.05,-0.01,-0.02,-0.13,-0.04,0.02,-0.0,0.61,-0.61
video_24,-0.37,-0.04,-0.02,-0.01,-0.08,-0.08,0.02,-0.03,0.01,-0.05,-0.05,-0.07,-0.01,0.01,0.03,0.02,-0.0,-0.02,0.0,0.02,-0.74,-0.1
video_25,-0.19,0.03,-0.09,-0.06,-0.06,-0.33,-0.01,-0.05,0.05,-0.17,-0.07,-0.01,-0.02,-0.08,0.16,-0.0,-0.21,0.04,-0.01,0.04,-0.23,-0.34
video_26,-0.23,-0.0,-0.05,-0.03,-0.06,-0.23,0.01,-0.04,0.06,-0.12,-0.07,-0.08,-0.02,-0.03,0.06,0.01,-0.12,0.01,-0.01,0.03,-0.29,-0.49
video_27,-0.1,-0.0,-0.07,-0.05,-0.03,-0.32,-0.03,-0.03,0.05,-0.15,-0.08,-0.0,-0.09,-0.07,0.15,-0.02,-0.31,0.0,0.01,0.04,-0.08,-0.4
video_28,-0.14,0.05,-0.12,-0.09,-0.07,-0.4,-0.02,-0.05,0.05,-0.21,-0.09,0.02,-0.03,-0.09,0.22,0.02,-0.27,0.08,-0.01,0.06,0.03,-0.38
video_29,-0.19,0.06,-0.09,-0.06,-0.06,-0.34,-0.02,-0.05,0.03,-0.17,-0.08,-0.02,-0.04,-0.12,0.15,0.0,-0.27,0.05,-0.05,0.06,-0.23,-0.21
video_30,-0.15,0.03,-0.05,-0.01,-0.07,-0.28,-0.0,-0.04,0.07,-0.13,-0.07,0.0,-0.08,-0.05,0.19,-0.03,-0.25,0.02,0.0,0.03,-0.25,-0.41
video_31,-0.26,0.01,0.06,-0.06,-0.08,-0.01,-0.01,-0.06,-0.11,-0.01,-0.41,-0.16,-0.04,0.14,0.07,-0.02,-0.19,-0.11,-0.07,-0.02,-0.04,-0.09
video_32,-0.11,0.05,-0.08,-0.04,-0.07,-0.28,-0.01,-0.05,0.07,-0.14,-0.07,-0.01,-0.05,-0.16,0.17,-0.0,-0.32,0.04,-0.02,0.05,-0.2,-0.3
video_33,-0.09,0.02,-0.05,-0.02,-0.06,-0.27,-0.0,-0.03,0.04,-0.1,-0.07,-0.03,-0.02,0.0,0.07,-0.03,-0.17,-0.02,-0.0,0.03,-0.25,-0.52
video_34,-0.32,0.03,-0.09,-0.05,-0.06,-0.36,0.01,-0.06,0.09,-0.2,-0.06,0.0,-0.03,-0.1,0.09,0.01,-0.22,0.04,-0.02,0.05,-0.02,-0.28
video_35,-0.15,0.01,-0.04,-0.03,-0.06,-0.1,-0.01,-0.03,0.01,-0.12,-0.04,-0.09,-0.08,-0.05,0.08,0.01,-0.11,0.05,0.01,0.05,-0.28,-0.64
video_36,-0.35,-0.01,-0.07,-0.05,-0.04,-0.4,-0.02,-0.05,0.01,-0.22,-0.06,-0.0,-0.08,-0.19,0.19,-0.02,-0.29,0.06,0.0,0.03,0.15,-0.05
video_37,-0.17,-0.02,0.03,0.0,-0.12,-0.05,0.07,-0.02,-0.1,0.02,-0.26,-0.05,-0.08,0.07,0.2,-0.02,-0.16,-0.06,-0.02,0.03,-0.46,-0.4
video_38,-0.15,0.01,-0.09,-0.05,-0.07,-0.28,0.02,-0.04,0.08,-0.13,-0.07,-0.07,-0.03,-0.0,0.04,0.0,-0.11,-0.0,0.0,0.03,-0.0,-0.64
video_39,-0.36,0.01,-0.08,-0.03,-0.07,-0.29,0.01,-0.07,0.13,-0.17,-0.04,-0.12,-0.03,-0.16,0.09,0.0,-0.23,0.0,-0.02,0.05,-0.07,-0.24
video_40,-0.09,0.03,-0.05,-0.02,-0.07,-0.2,-0.03,-0.03,-0.01,-0.11,-0.07,-0.0,-0.03,-0.17,0.19,0.02,-0.35,0.05,-0.02,0.11,-0.3,-0.35
video_41,-0.3,0.01,-0.06,-0.04,-0.08,-0.23,0.02,-0.04,0.09,-0.1,-0.07,0.04,0.0,-0.05,0.11,0.01,-0.12,0.03,0.05,0.03,-0.52,-0.24
video_42,-0.2,-0.61,-0.04,-0.05,-0.1,-0.06,0.07,-0.03,0.04,-0.07,-0.03,0.08,0.04,-0.02,-0.03,0.07,0.13,-0.0,0.01,0.04,-0.3,0.11
video_43,-0.17,-0.01,-0.06,-0.03,-0.02,-0.24,-0.02,-0.04,0.04,-0.14,-0.03,-0.13,-0.06,-0.15,0.09,-0.03,-0.32,-0.01,-0.03,0.05,0.47,-0.48
video_44,-0.14,-0.0,-0.04,-0.04,-0.06,-0.23,-0.01,-0.03,-0.01,-0.09,-0.11,-0.03,-0.03,-0.02,0.11,0.0,-0.21,-0.02,-0.02,0.03,-0.39,-0.33
video_45,-0.33,-0.02,-0.04,0.0,-0.12,-0.33,0.03,-0.05,0.03,-0.12,-0.05,-0.15,-0.09,0.03,0.08,-0.04,-0.1,-0.05,0.07,0.01,0.49,-0.57
video_46,-0.23,-0.06,-0.02,-0.05,-0.08,-0.23,-0.02,-0.02,-0.01,-0.11,-0.15,-0.01,-0.03,0.05,0.12,0.0,-0.17,-0.04,-0.01,-0.01,-0.28,-0.37
video_47,-0.2,-0.02,0.04,-0.04,-0.08,-0.06,0.0,-0.06,-0.06,-0.04,-0.32,-0.12,-0.1,0.03,0.11,-0.0,-0.25,-0.05,-0.05,0.0,-0.28,-0.18
video_48,-0.1,-0.04,-0.06,-0.03,-0.02,-0.15,-0.03,-0.02,0.04,-0.12,-0.02,-0.14,-0.08,-0.16,0.0,-0.02,-0.29,0.02,0.0,0.05,0.71,-0.54
video_49,-0.3,-0.01,-0.02,0.01,-0.08,-0.21,0.01,-0.02,-0.03,-0.1,-0.1,-0.1,-0.12,0.07,0.16,-0.04,-0.15,0.0,0.03,0.02,-0.16,-0.58
video_50,-0.16,-0.01,-0.04,-0.03,-0.06,-0.24,-0.01,-0.03,0.0,-0.1,-0.12,-0.01,-0.05,-0.07,0.14,0.0,-0.27,0.01,-0.05,0.05,-0.33,-0.29
video_51,-0.19,-0.01,-0.02,-0.03,-0.05,-0.17,-0.02,-0.04,-0.04,-0.04,-0.09,-0.05,-0.03,-0.05,0.05,0.0,-0.17,0.0,-0.01,0.03,-0.39,-0.41
video_52,-0.11,0.04,-0.06,-0.06,-0.03,-0.17,-0.04,-0.04,-0.0,-0.15,-0.04,-0.01,-0.1,-0.12,0.1,-0.01,-0.35,0.07,-0.02,0.12,-0.49,0.01
video_53,-0.12,-0.01,-0.05,-0.01,-0.06,-0.25,0.01,-0.04,0.05,-0.11,-0.07,-0.07,-0.04,-0.09,0.13,-0.0,-0.2,-0.01,-0.0,0.02,-0.44,-0.3
video_54,-0.14,0.01,-0.04,-0.03,-0.05,-0.24,-0.02,-0.05,-0.01,-0.11,-0.11,-0.02,-0.05,-0.08,0.13,0.01,-0.35,-0.01,-0.04,0.05,-0.15,-0.34
video_55,-0.13,0.01,-0.05,-0.04,-0.06,-0.24,-0.01,-0.04,-0.01,-0.1,-0.1,-0.01,-0.02,-0.06,0.1,0.02,-0.22,0.01,-0.02,0.04,-0.29,-0.41
video_56,-0.36,-0.05,-0.06,-0.01,-0.11,-0.37,0.04,-0.06,0.06,-0.13,-0.06,-0.07,-0.05,-0.01,0.14,-0.03,-0.07,-0.03,0.02,0.01,0.24,-0.51
video_57,-0.11,0.01,-0.05,-0.03,-0.05,-0.08,-0.02,-0.04,0.01,-0.06,-0.07,0.0,-0.0,-0.07,0.11,0.03,-0.14,0.03,-0.03,0.04,-0.7,-0.22
video_58,-0.38,-0.02,-0.07,-0.03,-0.11,-0.22,0.01,-0.06,0.18,-0.13,-0.04,-0.17,-0.06,-0.07,-0.05,0.01,-0.06,0.01,0.08,0.09,-0.64,0.39
video_59,-0.18,0.01,-0.01,-0.06,-0.07,-0.17,-0.06,-0.05,-0.07,-0.05,-0.2,-0.06,-0.04,-0.08,0.11,0.01,-0.31,0.02,-0.05,0.1,-0.3,-0.27
video_60,-0.28,-0.1,-0.05,-0.02,-0.05,-0.3,-0.05,0.0,-0.04,-0.28,-0.08,-0.02,-0.1,0.0,0.21,-0.03,-0.23,0.01,0.06,-0.0,0.22,-0.44
video_61,-0.3,0.02,-0.07,-0.04,-0.06,-0.31,0.01,-0.05,0.07,-0.15,-0.07,-0.05,-0.01,-0.07,0.12,0.0,-0.16,-0.02,-0.02,0.04,-0.43,-0.09
video_62,-0.14,0.04,-0.1,-0.1,-0.05,-0.34,0.01,-0.04,0.03,-0.21,-0.11,0.02,-0.01,-0.03,0.19,0.03,-0.21,0.04,-0.04,0.02,-0.16,-0.41
video_63,-0.33,0.02,-0.08,-0.05,-0.04,-0.39,0.01,-0.05,0.09,-0.22,-0.06,-0.02,-0.04,0.0,0.1,-0.02,-0.17,0.03,0.02,0.02,0.2,-0.47
video_64,-0.07,0.1,-0.13,-0.09,-0.06,-0.4,-0.04,-0.06,0.1,-0.23,-0.09,-0.0,-0.1,-0.1,0.18,0.01,-0.39,0.09,-0.0,0.09,0.3,-0.39
video_65,-0.15,-0.04,-0.01,-0.02,-0.05,-0.06,-0.03,0.0,0.05,0.12,-0.05,-0.04,-0.05,0.14,-0.02,-0.04,-0.02,-0.04,0.14,0.02,-0.9,0.57
video_66,-0.21,-0.16,-0.02,-0.03,-0.05,-0.07,-0.02,-0.03,-0.01,-0.11,-0.06,-0.03,-0.08,-0.08,-0.09,-0.03,-0.26,-0.02,0.08,-0.0,-0.42,0.31
video_67,-0.14,-0.01,-0.08,-0.06,-0.05,-0.21,-0.03,-0.05,0.02,-0.14,-0.09,-0.01,-0.02,-0.05,0.03,0.02,-0.25,0.05,-0.01,0.09,-0.36,-0.29
video_68,-0.1,0.03,-0.06,-0.03,-0.07,-0.32,-0.04,-0.04,0.04,-0.16,-0.08,0.0,-0.06,-0.03,0.18,-0.03,-0.37,0.02,-0.01,0.06,-0.18,-0.3
video_69,-0.06,0.03,-0.06,-0.02,-0.04,-0.23,-0.01,-0.04,0.03,-0.12,-0.05,-0.02,-0.05,-0.15,0.17,0.01,-0.31,0.04,-0.02,0.07,-0.45,-0.21
video_70,-0.19,0.0,-0.06,-0.04,-0.1,-0.27,-0.01,-0.04,0.07,-0.11,-0.08,-0.02,-0.06,0.0,0.04,-0.01,-0.17,-0.01,0.07,0.05,0.23,-0.69
video_71,-0.16,0.02,-0.08,-0.04,-0.03,-0.31,-0.04,-0.04,0.08,-0.18,-0.06,0.0,-0.05,-0.04,0.08,-0.03,-0.35,0.0,-0.02,0.04,0.1,-0.38
video_72,-0.18,0.03,-0.03,-0.02,-0.07,-0.17,-0.01,-0.04,0.06,-0.11,-0.08,-0.02,-0.12,-0.0,0.12,-0.01,-0.28,0.03,0.0,0.06,-0.51,-0.21
video_73,-0.22,0.01,-0.06,-0.03,-0.1,-0.33,0.01,-0.05,0.05,-0.15,-0.08,-0.06,-0.05,-0.06,0.16,-0.01,-0.24,-0.04,0.03,0.02,-0.28,-0.21
video_74,-0.29,-0.02,-0.04,-0.01,-0.08,-0.27,0.02,-0.05,-0.0,-0.1,-0.05,0.01,-0.04,-0.09,0.15,0.01,-0.11,0.03,-0.0,0.01,-0.45,-0.16
video_75,-0.25,-0.09,-0.02,-0.01,-0.11,-0.22,0.05,-0.04,0.03,-0.09,-0.05,-0.11,-0.04,0.02,-0.01,-0.02,0.01,-0.02,0.03,0.01,0.42,-0.81
video_76,-0.41,-0.02,-0.07,-0.05,-0.1,-0.24,0.03,-0.05,0.15,-0.1,-0.08,0.03,-0.02,-0.01,0.0,0.01,-0.04,0.04,0.08,0.05,-0.14,-0.51
video_77,-0.33,-0.03,-0.05,-0.02,-0.07,-0.2,0.01,-0.05,0.06,-0.08,-0.05,-0.04,-0.0,-0.08,0.01,-0.0,-0.06,0.02,0.02,0.05,-0.75,0.25
video_78,-0.14,-0.03,0.02,0.02,-0.07,-0.08,0.02,-0.0,-0.04,-0.02,-0.1,-0.03,-0.08,0.04,0.15,-0.04,-0.2,-0.02,0.02,0.06,-0.67,-0.3
video_79,-0.1,0.04,-0.09,-0.05,-0.05,-0.33,-0.02,-0.05,0.1,-0.19,-0.11,-0.04,-0.14,-0.08,0.12,-0.01,-0.35,0.03,0.02,0.03,-0.03,-0.31
video_80,-0.13,0.06,-0.08,-0.04,-0.08,-0.26,-0.0,-0.04,0.14,-0.1,-0.04,-0.04,-0.06,-0.08,0.06,-0.01,-0.2,0.01,0.0,0.04,0.4,-0.68
video_81,-0.38,-0.12,-0.03,-0.01,-0.04,-0.17,0.01,-0.05,0.06,-0.11,-0.03,-0.1,-0.02,-0.06,0.05,-0.0,-0.08,-0.05,-0.01,0.02,-0.66,0.22
video_82,-0.19,-0.03,-0.03,-0.01,-0.08,-0.23,0.01,-0.01,0.02,-0.1,-0.06,-0.01,-0.11,0.02,0.06,-0.05,-0.11,-0.05,0.05,-0.03,0.51,-0.75
video_83,-0.32,0.02,-0.09,-0.06,-0.11,-0.46,-0.0,-0.03,0.03,-0.27,-0.09,0.08,-0.05,-0.1,0.21,0.03,-0.24,0.08,0.06,0.03,0.06,-0.05
video_84,-0.18,-0.01,-0.1,-0.07,-0.06,-0.4,-0.03,-0.05,0.07,-0.21,-0.09,-0.0,-0.06,-0.11,0.07,-0.01,-0.35,0.06,0.02,0.06,0.1,-0.18
video_85,-0.18,-0.08,-0.03,0.02,-0.04,-0.19,0.05,-0.03,0.04,-0.17,-0.01,-0.11,-0.04,0.02,-0.09,-0.03,0.07,0.01,0.06,-0.01,0.59,-0.83
video_86,-0.38,-0.04,-0.03,-0.03,-0.09,-0.21,0.04,-0.02,0.1,-0.02,-0.07,-0.02,-0.07,0.15,-0.04,-0.06,0.06,-0.05,0.14,-0.0,0.27,-0.78
video_87,-0.11,-0.02,-0.06,-0.03,-0.06,-0.18,-0.07,-0.05,-0.05,-0.12,-0.05,-0.01,-0.04,-0.22,-0.03,0.0,-0.3,0.07,-0.0,0.05,0.18,-0.39
video_88,-0.11,0.08,-0.11,-0.06,-0.08,-0.38,-0.01,-0.07,0.1,-0.22,-0.09,-0.01,-0.09,-0.16,0.19,-0.0,-0.42,0.08,-0.02,0.08,0.3,-0.29
video_89,-0.4,-0.05,-0.07,-0.06,0.0,0.0,-0.0,-0.09,0.17,-0.06,0.01,-0.09,0.03,-0.09,-0.14,0.08,0.13,0.11,-0.02,0.11,-0.91,0.57
video_90,-0.14,0.02,-0.04,-0.01,-0.04,-0.18,-0.03,-0.05,-0.01,-0.1,-0.08,-0.02,-0.04,-0.11,0.14,-0.0,-0.34,-0.02,-0.03,0.1,-0.46,-0.11
video_91,-0.13,0.04,-0.08,-0.0,-0.08,-0.34,0.01,-0.07,0.14,-0.16,-0.09,-0.07,-0.12,-0.14,0.17,-0.02,-0.34,0.02,-0.02,0.05,-0.29,-0.04
video_92,-0.4,-0.0,-0.05,0.01,-0.07,-0.27,0.08,-0.06,0.13,-0.08,-0.02,-0.2,-0.03,-0.17,0.05,0.03,-0.01,-0.01,0.02,0.03,-0.75,0.42
video_93,-0.17,0.08,-0.13,-0.09,-0.05,-0.4,0.01,-0.08,0.12,-0.2,-0.07,-0.05,-0.04,-0.07,0.08,0.02,-0.21,0.04,0.01,0.05,0.19,-0.47
video_94,-0.16,0.04,-0.1,-0.04,-0.06,-0.35,-0.0,-0.07,0.13,-0.2,-0.06,-0.08,-0.1,-0.1,0.09,-0.01,-0.29,0.02,0.0,0.06,0.21,-0.4
video_95,-0.23,0.02,-0.08,-0.03,-0.09,-0.34,0.01,-0.06,0.22,-0.11,-0.1,-0.04,-0.09,-0.1,0.19,-0.02,-0.3,-0.01,-0.02,0.04,-0.28,-0.09
video_96,-0.26,0.04,-0.06,-0.02,-0.06,-0.23,0.04,-0.05,0.13,-0.12,-0.08,-0.01,-0.03,-0.19,0.21,-0.01,-0.22,0.06,-0.05,0.03,-0.68,0.39
video_97,-0.13,0.01,-0.07,-0.02,-0.04,-0.3,-0.02,-0.02,0.05,-0.08,-0.08,-0.02,-0.11,-0.12,0.24,-0.02,-0.31,0.0,-0.01,0.03,-0.59,0.28
video_98,-0.33,-0.05,-0.11,-0.04,-0.05,-0.14,0.01,-0.09,0.21,-0.12,-0.02,-0.15,-0.06,-0.09,-0.21,0.02,-0.02,0.09,-0.0,0.1,-0.54,-0.06
video_99,-0.16,-0.02,-0.1,-0.07,-0.05,-0.21,-0.03,-0.06,0.06,-0.1,-0.06,-0.02,-0.02,-0.01,-0.01,0.01,-0.13,0.08,0.0,0.09,-0.5,-0.29
video_100,-0.11,-0.0,-0.06,-0.0,-0.06,-0.17,0.03,-0.05,0.13,-0.1,-0.04,-0.16,-0.07,-0.13,-0.03,0.0,-0.22,0.01,-0.01,0.07,-0.35,-0.33
video_101,-0.07,0.03,-0.07,0.0,-0.07,-0.25,-0.03,-0.05,0.11,-0.14,-0.06,-0.16,-0.1,-0.12,0.04,-0.03,-0.33,-0.02,-0.01,0.09,-0.33,-0.05
video_102,-0.17,0.0,-0.13,-0.1,-0.05,-0.17,-0.04,-0.07,0.11,-0.1,-0.05,-0.03,-0.01,-0.11,-0.04,0.03,-0.21,0.12,-0.01,0.14,-0.61,0.01
video_103,-0.12,0.06,-0.11,-0.06,-0.07,-0.38,-0.03,-0.05,0.07,-0.22,-0.09,0.0,-0.05,-0.12,0.2,-0.01,-0.38,0.07,-0.01,0.08,0.03,-0.29
video_104,-0.36,0.04,-0.06,-0.01,-0.1,-0.48,0.02,-0.05,0.27,-0.06,-0.09,-0.05,-0.11,-0.15,0.15,-0.02,-0.28,-0.04,-0.02,0.05,-0.11,0.02
video_105,-0.16,0.02,-0.11,-0.06,-0.07,-0.22,-0.0,-0.09,0.09,-0.2,-0.06,-0.1,-0.07,-0.17,0.02,0.01,-0.21,0.16,-0.01,0.12,-0.23,-0.3
video_106,-0.13,0.04,-0.05,-0.03,-0.01,-0.2,-0.02,-0.05,0.05,-0.18,-0.03,-0.15,-0.08,-0.23,0.04,-0.01,-0.33,0.07,-0.04,0.08,0.02,-0.35
video_107,-0.14,0.05,-0.1,-0.06,-0.03,-0.32,-0.05,-0.05,0.02,-0.16,-0.06,-0.01,-0.0,-0.18,0.14,0.01,-0.4,0.09,-0.05,0.1,-0.25,-0.04
video_108,-0.1,0.06,-0.07,-0.05,-0.02,-0.18,-0.05,-0.06,0.03,-0.15,-0.02,-0.09,-0.04,-0.25,0.06,0.0,-0.39,0.08,-0.06,0.14,-0.11,-0.25
video_109,-0.16,-0.02,-0.09,-0.06,-0.05,-0.21,-0.03,-0.06,0.05,-0.1,-0.05,-0.03,-0.03,-0.02,0.02,0.01,-0.14,0.09,0.0,0.09,-0.53,-0.28
video_110,-0.15,0.05,-0.08,-0.04,-0.03,-0.31,-0.02,-0.06,0.04,-0.17,-0.04,-0.08,-0.03,-0.22,0.12,-0.0,-0.38,0.08,-0.05,0.1,-0.19,-0.06
video_111,-0.23,0.01,-0.07,-0.01,-0.05,-0.25,0.07,-0.07,0.09,-0.09,-0.01,-0.26,-0.03,-0.2,0.09,0.01,-0.11,0.01,-0.04,0.05,-0.73,0.32
video_112,-0.23,0.06,-0.09,-0.07,-0.02,-0.38,-0.02,-0.06,0.04,-0.17,-0.06,-0.05,-0.01,-0.24,0.14,-0.0,-0.39,0.08,-0.07,0.08,-0.17,0.17
video_113,-0.18,-0.01,-0.13,-0.1,-0.04,-0.03,-0.0,-0.11,0.14,-0.14,-0.01,-0.13,-0.03,-0.14,-0.1,0.06,-0.01,0.19,-0.0,0.16,-0.65,-0.17
video_114,-0.13,-0.04,-0.06,-0.02,-0.05,-0.27,0.01,-0.04,0.1,-0.1,-0.06,-0.06,-0.07,-0.08,0.08,-0.01,-0.23,-0.0,-0.0,0.05,-0.43,-0.23
video_115,-0.3,-0.01,-0.16,-0.11,-0.07,-0.18,0.01,-0.1,0.25,-0.1,-0.06,-0.14,-0.06,-0.09,-0.19,0.04,-0.04,0.13,0.03,0.14,-0.57,0.07
video_116,-0.04,-0.03,-0.03,0.02,-0.06,-0.21,-0.01,-0.02,0.05,-0.09,-0.07,-0.01,-0.11,-0.04,0.11,-0.04,-0.28,-0.02,0.02,0.03,0.1,-0.66
video_117,-0.08,0.03,-0.08,-0.04,-0.06,-0.31,-0.01,-0.05,0.07,-0.15,-0.08,0.0,-0.07,-0.12,0.18,-0.01,-0.34,0.05,-0.02,0.07,-0.18,-0.32
video_118,-0.4,-0.02,-0.09,-0.05,-0.05,-0.17,0.0,-0.08,0.15,-0.09,-0.02,-0.1,0.0,-0.11,-0.11,0.03,-0.02,0.07,-0.01,0.09,-0.67,0.11
video_119,-0.13,-0.0,-0.09,-0.03,-0.1,-0.37,-0.02,-0.05,0.19,-0.16,-0.1,-0.03,-0.1,-0.04,0.22,-0.02,-0.3,-0.01,0.01,0.04,-0.44,0.08
video_120,-0.1,-0.08,-0.04,0.01,-0.03,-0.24,0.0,-0.03,0.12,-0.22,-0.04,-0.01,-0.09,0.02,0.02,-0.05,-0.12,0.01,0.02,-0.0,0.37,-0.73
video_121,-0.38,-0.06,-0.08,-0.04,0.0,0.13,0.06,-0.09,0.17,-0.03,0.03,-0.31,0.01,-0.05,-0.24,0.06,0.14,0.08,0.02,0.09,-0.95,0.46
video_122,-0.07,0.01,-0.08,-0.01,-0.1,-0.4,-0.01,-0.05,0.12,-0.14,-0.12,-0.0,-0.13,-0.04,0.24,-0.0,-0.41,0.02,0.02,0.05,0.07,-0.4
video_123,-0.19,-0.11,-0.03,0.01,-0.05,0.07,0.1,-0.03,0.21,-0.01,-0.03,-0.29,-0.05,-0.04,-0.18,0.03,0.11,0.02,0.14,0.05,-0.9,0.64
video_124,-0.09,0.06,-0.1,-0.05,-0.06,-0.37,-0.02,-0.06,0.12,-0.2,-0.08,-0.01,-0.09,-0.06,0.14,-0.02,-0.37,0.04,-0.01,0.06,0.28,-0.45
video_125,-0.09,0.05,-0.05,-0.04,-0.03,-0.23,-0.07,-0.03,-0.02,-0.1,-0.05,-0.02,-0.06,-0.22,0.12,-0.0,-0.41,0.07,-0.03,0.15,-0.28,-0.15
video_126,-0.07,0.04,-0.1,-0.04,-0.06,-0.32,-0.01,-0.06,0.09,-0.19,-0.07,-0.05,-0.07,-0.12,0.13,-0.01,-0.36,0.03,0.0,0.06,0.2,-0.44
